Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Мариуполь;рн)/й м/Отделение №1: бульв. Шевченко, 313 (22;(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 15:30, Вт: До 15:30, Ср: До 15:30, Чт: До 15:30, Пт: До 15:30, Сб: До 15:30, Вс: Выходной
Мариуполь;Отделение №2 (до 30 кг на одно место): ул. Варганова, 10;(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 15:00, Вт: До 15:00, Ср: До 15:00, Чт: До 15:00, Пт: До 15:00, Сб: До 15:00, Вс: Выходной
Мариуполь;Отделение №3: ул. Ломизова, 1 (Левый берег);(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 14:30, Вт: До 14:30, Ср: До 14:30, Чт: До 14:30, Пт: До 14:30, Сб: До 14:30, Вс: Выходной
Мариуполь;Отделение №4 (до 30 кг на одно место): просп. Нахимова, 108;(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 14:00, Вт: До 14:00, Ср: До 14:00, Чт: До 14:00, Пт: До 14:00, Сб: До 14:00, Вс: Выходной
Мариуполь;Отделение №5 (до 30 кг на одно место): ул. Артема, 33 (Центр);(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 14:00, Вт: До 14:00, Ср: До 14:00, Чт: До 14:00, Пт: До 14:00, Сб: До 14:00, Вс: Выходной
Мариуполь;Отделение № 6: ул. Георгиевская, 10 (Центр);(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 14:00, Вт: До 14:00, Ср: До 14:00, Чт: До 14:00, Пт: До 14:00, Сб: До 14:00, Вс: Выходной
Мариуполь;"Отделение №7 (до 30 кг на одно место): просп. Строителей, 86 (в районе магазина ""Тысяча мелочей"")";(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 15:00, Вт: До 15:00, Ср: До 15:00, Чт: До 15:00, Пт: До 15:00, Сб: До 15:00, Вс: Выходной
Мариуполь;Отделение №8 (до 30 кг на одно место): просп. Победы, 70 (Левый берег);(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 14:00, Вт: До 14:00, Ср: До 14:00, Чт: До 14:00, Пт: До 14:00, Сб: До 14:00, Вс: Выходной
Мариуполь;Отделение №9 (до 30 кг): просп. Металлургов, 215 (ориентир - бассейн Нептун);(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 15:00, Вт: До 15:00, Ср: До 15:00, Чт: До 15:00, Пт: До 15:00, Сб: До 15:00, Вс: Выходной
Мариуполь;"Отделение №10 (до 30 кг на одно место): просп. Ленина, 87а (р-н ""Дома связи"")";(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 15:30, Вт: До 15:30, Ср: До 15:30, Чт: До 15:30, Пт: До 15:30, Сб: До 15:30, Вс: Выходной
Мариуполь;"Отделение №11 (до 30 кг на одно место): просп. Ильича, 69 (напротив кафе ""Никополь-Провиданс"")";(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 15:00, Вт: До 15:00, Ср: До 15:00, Чт: До 15:00, Пт: До 15:00, Сб: До 15:00, Вс: Выходной
Мариуполь;"Отделение №12 (до 30 кг на одно место): просп. Ленина, 121 (ориентир магазин ""Надія"")";(0629) 452-510;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 16:00, Вт: До 16:00, Ср: До 16:00, Чт: До 16:00, Пт: До 16:00, Сб: До 16:00, Вс: Выходной
